area,file,lat,lon,radius_km,Shops,Supermarkets,Markets,Mosques,Churches,Places of worship (other),Schools,Nurseries,Colleges,Hospitals,Clinics,Pharmacies,Banks,ATMs,Money transfer,Fuel stations,Restaurants & cafes,Bars,Police,Post offices,Fire stations,Ferry terminals,Bus & taxi ranks,Public water points,Government offices,Hotels & guesthouses,Sports grounds & gyms,Nature reserves,Libraries,Workshops
Kerr Serign,kerr-serign.html,13.4325,-16.7203,2,32,6,3,3,0,0,2,0,1,3,0,1,3,4,1,1,73,15,0,0,0,0,4,0,0,33,11,1,0,0
Kerr Serign,kerr-serign.html,13.4325,-16.7203,3,65,9,5,8,1,0,13,0,1,4,1,4,6,5,6,5,86,20,2,0,0,0,8,0,0,48,28,1,0,0
Kerr Serign,kerr-serign.html,13.4325,-16.7203,5,136,19,12,19,3,0,26,0,5,11,2,8,20,11,12,20,114,24,7,1,2,0,16,0,1,106,49,1,1,2
Kololi,kololi.html,13.4404,-16.7156,1,28,5,2,2,0,0,0,0,0,2,0,1,3,3,1,1,67,11,0,0,0,0,3,0,0,20,7,0,0,0
Kololi,kololi.html,13.4404,-16.7156,2,30,7,3,3,1,0,7,0,1,2,0,1,3,4,1,3,77,19,1,0,0,0,5,0,0,35,19,1,0,0
Kololi,kololi.html,13.4404,-16.7156,3,34,7,4,5,3,0,12,0,1,4,0,1,5,4,2,6,81,20,2,0,1,0,8,0,0,52,25,1,0,0
Kololi,kololi.html,13.4404,-16.7156,5,143,20,12,20,7,0,43,1,8,11,3,9,21,11,11,21,128,24,7,2,2,0,19,0,6,114,64,1,2,2
Kotu,kotu.html,13.4553,-16.7034,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,3,0,1,0,1,0,0,0,0,8,3,0,0,0
Kotu,kotu.html,13.4553,-16.7034,2,33,9,0,1,1,0,9,0,2,0,0,1,5,3,3,5,49,7,3,0,1,0,2,0,1,27,17,0,0,0
Kotu,kotu.html,13.4553,-16.7034,3,68,14,5,6,6,0,33,1,4,3,0,2,13,7,4,10,111,19,3,1,1,0,10,0,4,79,44,0,1,2
Kotu,kotu.html,13.4553,-16.7034,5,96,16,7,20,7,0,50,1,8,11,2,4,20,9,5,18,120,22,4,2,2,0,16,0,15,103,68,1,2,2
Kuntaur,kuntaur.html,13.6709,-14.8898,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,1,0,0,0,0
Kuntaur,kuntaur.html,13.6709,-14.8898,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,1,0,1,0,0,0,0
Kuntaur,kuntaur.html,13.6709,-14.8898,3,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,4,0,1,1,2,0,0,0,0
Kuntaur,kuntaur.html,13.6709,-14.8898,5,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,1,0,0,4,0,1,1,2,0,0,0,0
Lamin,lamin.html,13.3874,-16.6439,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,1,1,0,0
Lamin,lamin.html,13.3874,-16.6439,2,3,0,0,1,0,0,3,0,0,0,1,0,0,0,0,2,2,0,1,0,0,0,1,0,1,1,7,1,0,0
Lamin,lamin.html,13.3874,-16.6439,3,12,0,1,1,0,0,4,0,0,0,1,0,0,0,0,5,2,2,2,0,0,0,2,0,1,5,8,1,0,0
Lamin,lamin.html,13.3874,-16.6439,5,32,4,3,18,0,0,12,0,0,3,2,0,2,0,0,13,3,3,5,0,0,0,6,0,1,9,27,2,0,0
Latriya,latriya.html,13.3,-16.711,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latriya,latriya.html,13.3,-16.711,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Latriya,latriya.html,13.3,-16.711,3,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Latriya,latriya.html,13.3,-16.711,5,1,0,0,1,0,1,8,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,7,0,0,0
Madiana,madiana.html,13.3533,-16.7631,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Madiana,madiana.html,13.3533,-16.7631,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,1,0,0,0
Madiana,madiana.html,13.3533,-16.7631,3,3,1,0,3,0,0,6,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,6,4,1,1,0
Madiana,madiana.html,13.3533,-16.7631,5,9,1,1,11,3,1,16,0,0,3,5,2,0,0,0,3,6,2,0,0,0,0,2,30,0,15,13,2,2,0
Mamuda,mamuda.html,13.3032,-16.7328,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mamuda,mamuda.html,13.3032,-16.7328,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Mamuda,mamuda.html,13.3032,-16.7328,3,1,0,0,0,2,0,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,2,0,1,0
Mamuda,mamuda.html,13.3032,-16.7328,5,2,0,0,1,2,1,7,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,1,0,0,4,7,0,1,0
Manjai Kunda,manjai-kunda.html,13.4422,-16.6981,1,2,0,0,1,1,0,4,0,0,0,0,0,1,0,0,2,1,2,1,0,0,0,2,0,0,5,7,0,0,0
Manjai Kunda,manjai-kunda.html,13.4422,-16.6981,2,8,2,3,3,3,0,12,0,0,0,0,0,2,0,0,5,7,3,2,0,1,0,5,0,0,44,11,0,0,1
Manjai Kunda,manjai-kunda.html,13.4422,-16.6981,3,74,15,5,11,5,0,30,0,4,6,0,3,17,9,5,13,103,20,3,2,2,0,14,0,2,87,42,0,1,2
Manjai Kunda,manjai-kunda.html,13.4422,-16.6981,5,114,17,7,26,7,0,50,1,8,14,2,6,20,9,5,22,122,21,5,2,2,0,17,0,15,111,79,1,2,2
Mansa Konko,mansa-konko.html,13.4585,-15.534,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,3,7,0,0,0,0
Mansa Konko,mansa-konko.html,13.4585,-15.534,2,1,0,0,2,2,2,3,0,1,1,0,1,1,0,0,3,1,0,2,0,1,0,1,1,4,9,4,0,0,1
Mansa Konko,mansa-konko.html,13.4585,-15.534,3,2,0,2,2,2,2,6,0,1,1,0,1,2,0,0,4,2,0,3,0,1,0,1,1,4,10,4,0,0,2
Mansa Konko,mansa-konko.html,13.4585,-15.534,5,2,0,2,2,2,2,6,0,1,1,0,1,2,0,0,4,2,0,3,0,1,0,1,1,4,10,4,0,0,2
Nema Kunku,nema-kunku.html,13.40461,-16.68401,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Nema Kunku,nema-kunku.html,13.40461,-16.68401,2,17,1,0,6,0,0,3,0,0,4,0,0,0,0,0,5,1,0,2,0,0,0,3,0,0,3,8,0,0,0
Nema Kunku,nema-kunku.html,13.40461,-16.68401,3,33,3,2,19,0,0,9,0,0,6,1,1,0,0,1,9,1,0,2,0,0,0,4,0,0,7,12,0,0,0
Nema Kunku,nema-kunku.html,13.40461,-16.68401,5,88,7,12,33,4,0,23,0,2,10,2,5,11,3,5,23,14,3,8,1,1,0,17,0,2,56,46,2,0,1
Old Yundum,old-yundum.html,13.3625,-16.68611,1,0,0,2,2,0,0,1,0,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,3,0,0,0
Old Yundum,old-yundum.html,13.3625,-16.68611,2,3,1,2,7,0,0,6,0,0,0,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,2,9,0,0,0
Old Yundum,old-yundum.html,13.3625,-16.68611,3,3,2,3,8,0,1,10,0,0,0,1,0,2,0,0,5,0,0,3,0,0,0,1,0,0,5,16,0,0,0
Old Yundum,old-yundum.html,13.3625,-16.68611,5,28,4,4,21,1,2,17,0,0,3,1,0,2,0,0,7,0,1,5,0,1,0,2,27,0,12,31,2,0,0
Pipeline,pipeline.html,13.463,-16.6841,1,28,4,0,2,1,0,14,0,4,0,1,1,7,2,2,3,18,0,1,0,0,0,1,0,8,5,8,0,1,0
Pipeline,pipeline.html,13.463,-16.6841,2,39,6,0,6,3,0,31,1,6,4,2,1,9,3,3,8,33,0,1,1,0,0,3,0,14,12,37,0,2,1
Pipeline,pipeline.html,13.463,-16.6841,3,51,9,2,11,4,0,36,1,7,5,2,2,15,5,3,12,43,2,3,2,1,0,8,0,15,57,41,0,2,2
Pipeline,pipeline.html,13.463,-16.6841,5,92,16,7,19,7,0,46,1,7,10,2,4,20,10,5,18,120,21,3,2,2,0,16,0,15,95,64,0,2,2
Salagi,salagi.html,13.393,-16.71,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Salagi,salagi.html,13.393,-16.71,2,1,0,0,4,0,0,2,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2,1,1,0,0
Salagi,salagi.html,13.393,-16.71,3,43,2,5,10,0,0,5,0,1,4,2,6,3,2,6,6,12,1,3,0,0,0,4,1,0,6,10,1,0,0
Salagi,salagi.html,13.393,-16.71,5,96,7,9,33,1,1,28,0,2,11,3,8,6,2,8,16,20,5,7,0,0,0,5,30,0,35,41,2,0,0
Sanyang,sanyang.html,13.2676,-16.7584,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0
Sanyang,sanyang.html,13.2676,-16.7584,2,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,2,0,0,0
Sanyang,sanyang.html,13.2676,-16.7584,3,2,0,0,2,0,0,1,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,2,0,0,0
Sanyang,sanyang.html,13.2676,-16.7584,5,3,0,0,2,2,0,6,1,0,1,0,0,0,1,0,3,6,1,0,0,0,0,1,0,0,5,5,1,1,0
Senegambia,senegambia.html,13.4431,-16.7198,1,28,6,2,2,0,0,0,0,0,2,0,1,3,4,1,1,68,15,0,0,0,0,4,0,0,25,8,0,0,0
